forced,tsid,time,state,residuals
False,4,446.0,0.8120130204636037,-0.007304289892521187
False,4,447.0,0.8206333737479956,0.0013100290409986393
False,4,448.0,0.8097274145089333,-0.009601993647798568
False,4,449.0,0.8187985324750561,-0.0005369728452355726
False,4,450.0,0.8201924443036027,0.0008508020366059243
False,4,451.0,0.8239686551306628,0.004620830163170053
False,4,452.0,0.8180706126474322,-0.0012834450637835282
False,4,453.0,0.8039434575653,-0.015416885875838005
False,4,454.0,0.8102633511032262,-0.009103329570596896
False,4,455.0,0.8117364492194464,-0.0076366165116795726
False,4,456.0,0.8171894400892142,-0.002190054102127914
False,4,457.0,0.8266528251832219,0.007266867014026235
False,4,458.0,0.8304489689592837,0.011056524271866763
False,4,459.0,0.8282278823517228,0.008828947534793352
False,4,460.0,0.8208138186809426,0.0014084133007677968
False,4,461.0,0.8146363600527325,-0.004775470042867269
False,4,462.0,0.8192334493034762,-0.00018473201432123165
False,4,463.0,0.8157532684772719,-0.0036711626232412975
False,4,464.0,0.7976064337762392,-0.02182411906938253
False,4,465.0,0.8101338983783307,-0.009302623360554763
False,4,466.0,0.8124227024945992,-0.007019611935690118
False,4,467.0,0.7997670093051161,-0.019680900392138545
False,4,468.0,0.8128835798131585,-0.006569709138890212
False,4,469.0,0.8100017123202858,-0.009456725933772225
False,4,470.0,0.8174708743472878,-0.0019924734157368285
False,4,471.0,0.8205299256410336,0.0010619166113455814
False,4,472.0,0.8055992595283994,-0.013873154878296545
False,4,473.0,0.8189882771181558,-0.0004882816050205685
False,4,474.0,0.8223252335449854,0.002844793124691769
False,4,475.0,0.8272253434438728,0.007741282829773932
False,4,476.0,0.8329403169794206,0.013452896151967764
False,4,477.0,0.8355884593439824,0.01609793713741592
False,4,478.0,0.8400449627558896,0.02055159337830781
False,4,479.0,0.8279133604333238,0.008417391712204902
False,4,480.0,0.8242720449561598,0.004773715448153082
False,4,481.0,0.8401174052890313,0.020616943581333813
False,4,482.0,0.8372323727895313,0.017729998889662202
False,4,483.0,0.8364968329174509,0.01699275877894746
False,4,484.0,0.8370255972283215,0.017520026787472
False,4,485.0,0.839902991708327,0.020396120778156446
False,4,486.0,0.823984795572364,0.004476808106890995
False,4,487.0,0.8214031959866729,0.0018942601434290829
False,4,488.0,0.8222051371152718,0.0026954008090757098
False,4,489.0,0.8142085790840723,-0.005301832304411391
False,4,490.0,0.8106421013938201,-0.008868881682183027
False,4,491.0,0.8123721097111496,-0.007139364093403433
False,4,492.0,0.8134892239295007,-0.006022684073325735
False,4,493.0,0.8161673735019641,-0.0033449369796125783
False,4,494.0,0.827828299395292,0.008315595931614794
False,4,495.0,0.8290049052755398,0.009491799933667
False,4,496.0,0.8254224017672188,0.00590887166878884
False,4,497.0,0.8214706603105342,0.001956670676132588
False,4,498.0,0.8147640832034458,-0.004750412566544959
False,4,499.0,0.8141161560612231,-0.005398900362033832
False,4,500.0,0.8064736350220985,-0.013042039594354016
False,4,501.0,0.8140508422240551,-0.005465507046383822
False,4,502.0,0.8124164141840234,-0.007100662453108697
False,4,503.0,0.8247091733276822,0.005191322377909313
False,4,504.0,0.8300329879072916,0.010514321493458212
False,4,505.0,0.8166191720664049,-0.0029003484711758176
False,4,506.0,0.8152786280390495,-0.004241786364457045
False,4,507.0,0.8271134233410764,0.007592071378639487
False,4,508.0,0.8135613711768989,-0.005960969523581827
False,4,509.0,0.8236483215008813,0.004124928989126753
False,4,510.0,0.8188992378735084,-0.0006252840448084385
False,4,511.0,0.8054458307900699,-0.014079914228559698
False,4,512.0,0.8177917625188569,-0.0017353171349308028
False,4,513.0,0.8215905988808305,0.0020620551554857425
False,4,514.0,0.8210305642274836,0.001500412851795918
False,4,515.0,0.8254027558428252,0.005870843724186003
False,4,516.0,0.8360962659268814,0.01656243367623733
False,4,517.0,0.8358966344878919,0.0163607197929988
False,4,518.0,0.8288817615133831,0.009343604691742557
False,4,519.0,0.8185392320488999,-0.0010013200381590037
False,4,520.0,0.8109138218729504,-0.008629271387775583
